AREA_INF;PUERTO_PRESCRITO;PUERTO;COD_PUERTO;PESQUERIA;ESTRATO_RIM;COD_ORIGEN;ARTE;COD_ARTE;METIER_DCF;CALADERO_DCF
AC;Avilés / Gijón;Gijón;1417;LINEA_CABALLA;LIN_CABALLA;008;líneas fijas;311;LHM_SPF_0_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;BETA_CN / TRASMALLO_CN;BETA_CN;009;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;BETA_CN / TRASMALLO_CN;BETA_CN;010;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;CERCO_CN;CERCO_CN;009;cerco;601;PS_SPF_0_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;CERCO_CN;CERCO_CN;008;cerco;601;PS_SPF_0_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;LINEA_CABALLA;LIN_CABALLA;009;líneas fijas;311;LHM_SPF_0_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;BACA_CN / JURELERA_CN;JURELERA_CN;009;baca;102;OTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;BACA_CN / JURELERA_CN;BACA_CN;009;baca;102;OTB_DEF_>=55_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;BETA_CN / TRASMALLO_CN;TRASMALL_CN;009;trasmallo;204;GTR_DEF_60-79_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;CERCO_CN;CERCO_CN;038;cerco;601;PS_SPF_0_0_0;Bay of Biscay (VIIIabde)
AC;Avilés / Gijón;Gijón;1417;CERCO_CN;CERCO_CN;010;cerco;601;PS_SPF_0_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;BACA_CN / JURELERA_CN;JURELERA_CN;010;baca;102;OTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;BETA_CN / TRASMALLO_CN;TRASMALL_CN;008;trasmallo;204;GTR_DEF_60-79_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Gijón;1417;PAREJA_CN;PAREJA_CN;008;pareja;104;PTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
GC;Isla Cristina;Isla Cristina;0110;ENMALLE_GC / TRASMALLO_GC;ENMALLE_GC;011;enmalle;200;GNS_DEF_40-59_0_0;Iberian (VIIIc-IX)
GC;Isla Cristina;Isla Cristina;0110;ENMALLE_GC / TRASMALLO_GC;TRASMALL_GC;011;trasmallo;204;GTR_DEF_50-59_0_0;Iberian (VIIIc-IX)
AC;Llanes;Llanes;1423;PALANGRE_CN;PALANGRE_CN;010;palangre de fondo;302;LLS_DEF_0_0_0;Iberian (VIIIc-IX)
AC;Llanes;Llanes;1423;PALANGRE_CN;PALANGRE_CN;009;palangre de fondo;302;LLS_DEF_0_0_0;Iberian (VIIIc-IX)
AC;Llanes;Llanes;1423;RASCO_CN;RASCO_CN;008;rasco;203;GNS_DEF_>=100_0_0;Iberian (VIIIc-IX)
