METIER_DCF;CALADERO_DCF;UNIPESCOD;ORICOD
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;045
LHM_SPF_0_0_0;Iberian (VIIIc-IX);LIN_CABALLA;045
LHM_CEP_0_0_0;Iberian (VIIIc-IX);LIN_CALAMAR;045
PTB_MPD_>=55_0_0;Iberian (VIIIc-IX);PAREJA_CN;045
GNS_DEF_>=100_0_0;Iberian (VIIIc-IX);RASCO_CN;045
GNS_DEF_80-99_0_0;Iberian (VIIIc-IX);VOLANTA_CN;045
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;044
LHM_SPF_0_0_0;Iberian (VIIIc-IX);LIN_CABALLA;044
LHM_CEP_0_0_0;Iberian (VIIIc-IX);LIN_CALAMAR;044
PTB_MPD_>=55_0_0;Iberian (VIIIc-IX);PAREJA_CN;044
GNS_DEF_>=100_0_0;Iberian (VIIIc-IX);RASCO_CN;044
GNS_DEF_80-99_0_0;Iberian (VIIIc-IX);VOLANTA_CN;044
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_CN;044
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;044
OTB_DEF_100-119_0_0;Western Scotland (VI);ARRAS6_AZTI;001
OTB_DEF_100-119_0_0;Western Scotland (VI);ARRAS6_AZTI;019
OTB_DEF_100-119_0_0;Western Scotland (VI);ARRAS6_AZTI;026
OTB_SPF_>=70_0_0;Bay of Biscay (VIIIabde);OTB_SPF>70;038
DRB_MOL_0_0_0;Iberian (VIIIc-IX);DRAGA_CN;045
LHM_SPF_0_0_0;Bay of Biscay (VIIIabde);LIN_CABALLA;038
OTB_MPD_>=55_0_0;Iberian (VIIIc-IX);JURELERA_CN;044
OTB_MPD_>=55_0_0;Iberian (VIIIc-IX);JURELERA_CN;045
LHM_DEF_0_0_0;Iberian (VIIIc-IX);LIN_MERLUZA;044
LHM_DEF_0_0_0;Iberian (VIIIc-IX);LIN_MERLUZA;045
FPO_CRU_0_0_0;Iberian (VIIIc-IX);NASA_NECORA;044
FPO_CRU_0_0_0;Iberian (VIIIc-IX);NASA_NECORA;045
FPO_MOL_0_0_0;Iberian (VIIIc-IX);NASAPULP_CN;044
FPO_MOL_0_0_0;Iberian (VIIIc-IX);NASAPULP_CN;045
GTR_DEF_60-79_0_0;Iberian (VIIIc-IX);TRASMALL_CN;044
GTR_DEF_60-79_0_0;Iberian (VIIIc-IX);TRASMALL_CN;045
DRB_MOL_0_0_0;Iberian (VIIIc-IX);DRAGA_CN;044
LHM_DWS_0_0_0;Iberian (VIIIc-IX);VORACERA_GC;129
LHM_DWS_0_0_0;Iberian (VIIIc-IX);VORACERA_GC;229
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_APN;013
OTB_MCD_>=55_0_0;Iberian (VIIIc-IX);BACA_APS;005
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_CN;013
OTB_MCD_>=55_0_0;Iberian (VIIIc-IX);BACA_GC;005
OTB_MCD_>=55_0_0;Iberian (VIIIc-IX);BACA_GC;013
TBB_MOL_<55_0_0;Iberian (VIIIc-IX);BOU_CN;003
TBB_MOL_<55_0_0;Iberian (VIIIc-IX);BOU_CN;005
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_CN;005
HMD_MOL_0_0_0;Iberian (VIIIc-IX);DRAGA_GC;005
GNS_DEF_40-59_0_0;Iberian (VIIIc-IX);ENMALLE_GC;005
OTB_MPD_>=55_0_0;Iberian (VIIIc-IX);JURELERA_CN;005
FPO_CRU_0_0_0;Iberian (VIIIc-IX);NASA_NECORA;005
FPO_FIF_0_0_0;Iberian (VIIIc-IX);NASA_PECES;003
FPO_MOL_0_0_0;Iberian (VIIIc-IX);NASAPULP_CN;005
FPO_MOL_0_0_0;Iberian (VIIIc-IX);NASAPULP_GC;005
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;005
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_GC;005
PTB_MPD_>=55_0_0;Iberian (VIIIc-IX);PAREJA_CN;005
GNS_DEF_>=100_0_0;Iberian (VIIIc-IX);RASCO_CN;005
SDN_MCF_<55_0_0;Iberian (VIIIc-IX);REDANESA_CN;003
SDN_MCF_<55_0_0;Iberian (VIIIc-IX);REDANESA_CN;005
LLS_DWS_0_0_0;Iberian (VIIIc-IX);SABLE_GC;005
GTR_DEF_60-79_0_0;Iberian (VIIIc-IX);TRASMALL_CN;005
GTR_DEF_50-59_0_0;Iberian (VIIIc-IX);TRASMALL_GC;005
GND_SPF_<40_0_0;Iberian (VIIIc-IX);XEITO_CN;005
GND_SPF_<40_0_0;Iberian (VIIIc-IX);XEITO_CN;010
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_GC;005
MIS_MIS_0_0_0_HC;Iberian (VIIIc-IX);NO_ASIG;005
MIS_MIS_0_0_0_HC;Iberian (VIIIc-IX);NO_ASIG;003
