Id;CODIGO_BUQUE;CODIGO_UE;NOMBRE_BUQUE;MATRICULA;FOLIO;DISTINTIVO;LISTA;CENSOPORMODALIDAD;CALADERO;MODALIDAD;LABORATORIO_PTOBASE;CODIGO_PUERTO_BASE;PUERTO_BASE;VERNACULO;PROVINCIA;AUTONOMIA_PUERTO_BASE;ESTADO;PAIS_EXPORTACION;FECHA_ALTA_CENSO;FECHA_SITUACION;FECHA_ENTRADA_SERVICIO;IRREGULAR;ESLORA_TOTAL;ESLORA_PP;LOA;ARQUEO_TRB;ARQUEO_GT;SITUACION_GT;POTENCIA_CV;POTENCIA_KW;TIPO_CASCO;AÑO_CONST;Observ
1299;23192;ESP000023192;EL TONINO;CA-2;2-95;EA2381;3;ARRASTRE DE FONDO  EN EL GOLFO DE CADIZ;2;ARRASTRE;IEO;33200;PUERTO DE SANTA MARIA;PUERTO DE SANTA MARIA;CADIZ;ANDALUCIA;ALTA DEFINITIVA;;27/05/1996;30/06/1996;29/04/1996;NO;18;14,57999992;VL1824;22,87999916;48,84999847;DEFINITIVO;220;161,8837433;POLIESTER;1995;
1300;23199;ESP000023199;EOLO;CO-4;1422;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22400;CAMARIÑAS;CAMARIÑAS;A CORUÑA;GALICIA;ALTA DEFINITIVA;;07/06/1996;07/06/1996;20/10/1969;NO;7;;VL0010;2,059999943;1,799999952;DEFINITIVO;25;18,39587975;POLIESTER;1969;
1301;23202;ESP000023202;TANIA SEGUNDO;CO-3;2-95;EB2381;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22320;MALPICA DE BERGANTIÑOS;MALPICA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;07/06/1996;07/06/1996;20/12/1995;NO;12,94999981;;VL1218;8,909999847;11,88000011;DEFINITIVO;30;22,07505608;MADERA;1995;
1302;23204;ESP000023204;CANALECHEVARRIA;FE-2;3-96;EA2510;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;AZTI;12200;BERMEO;BERMEO;VIZCAYA;PAIS VASCO;ALTA DEFINITIVA;;07/06/1996;30/06/1996;10/05/1996;NO;26;21,39999962;VL2440;83,30000305;107,4199982;DEFINITIVO;316;232,5239105;ACERO;1996;
1303;23205;ESP000023205;BRISAS DOS;ST-4;3-96;EA2409;3;CERCO EN CANTABRICO NW;1;CERCO;IEO;13400;SANTANDER;SANTANDER;CANTABRIA;CANTABRIA;ALTA DEFINITIVA;;18/06/1996;30/06/1996;18/04/1996;NO;26,63999939;21,79999924;VL2440;74,63999939;96,88999939;DEFINITIVO;402;295,8057251;ACERO;1996;
1304;23206;ESP000023206;BETI ITXAS ARGI;GI-4;1-96;EA2521;3;CERCO EN CANTABRICO NW;1;CERCO;AZTI;11110;FUENTERRABIA;HONDARRIBIA;GUIPUZCOA;PAIS VASCO;ALTA DEFINITIVA;;24/06/1996;30/06/1996;17/06/1996;NO;26;21,39999962;VL2440;82,83999634;111,0299988;DEFINITIVO;402;295,8057251;ACERO;1996;
1305;23209;ESP000023209;NUEVO COMOJO;VILL-3;11-95;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23315;PONTECESURES;PONTECESURES;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;27/06/1996;27/06/1996;30/10/1995;NO;9,850000381;7,800000191;VL0010;4;4,420000076;DEFINITIVO;24;17,66004372;MADERA;1995;
1306;23210;ESP000023210;LORETO CUATRO;VI-8;5-95;EB5623;3;CERCO EN CANTABRICO NW;1;CERCO;IEO;24800;REDONDELA;REDONDELA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;27/06/1996;27/06/1996;05/01/1996;NO;15,5;;VL1218;19,5;20,06999969;DEFINITIVO;127;93,45106506;MADERA;1995;
1307;23211;ESP000023211;NOVO SERENA;VI-8;2-96;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24800;REDONDELA;REDONDELA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;27/06/1996;27/06/1996;20/05/1996;NO;5,25;;VL0010;1,789999962;0,889999986;DEFINITIVO;25,02000046;18,41059685;POLIESTER;1996;
1308;23216;ESP000023216;CHIRLATEIRA;FE-3;2-94;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;21320;CEDEIRA;CEDEIRA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;27/06/1996;27/06/1996;01/02/1995;NO;11,94999981;10,17000008;VL1012;8,869999886;7,239999771;DEFINITIVO;64;47,09345245;POLIESTER;1994;
