"CODIGO_BUQUE";"CODIGO_UE";"CODIGO_CFR";"NOMBRE_BUQUE";"MATRICULA";"FOLIO";"DISTINTIVO";"LISTA";"CENSOPORMODALIDAD";"CALADERO";"MODALIDAD";"ESTADO";"PAIS_EXPORTACION";"FECHA_ALTA_CENSO";"FECHA_SITUACION";"FECHA_ENTRADA_SERVICIO";"IRREGULAR";"ESLORA_TOTAL";"ESLORA_PP";"LOA";"ARQUEO_TRB";"ARQUEO_GT";"SITUACION_GT";"POTENCIA_CV";"POTENCIA_KW";"TIPO_CASCO";"AÑO_CONST"
54511;"ESP000054511";"ESP000054511";"VICTORIA";"CO-4";"1933";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;4/8/1999 0:00:00;27/1/1987 0:00:00;"NO";4.80;;"VL0010";1.15;0.61;"PROVISIONAL";0.00;0.00;"Madera";
54514;"ESP000054514";"ESP000054514";"MANAGRA";"VILL-3";"10052";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;23/9/1986 0:00:00;"NO";6.47;0.00;"VL0010";1.04;2.10;"DEFINITIVO";15.00;11.03;"Poliester";1986
54517;"ESP000054517";"ESP000054517";"MARIA DEL CARMEN";"VILL-3";"6162   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;5/9/1949 0:00:00;"NO";5.59;;"VL0010";1.00;1.35;"DEFINITIVO";28.00;20.60;"POLIESTER";1949
54521;"ESP000054521";"ESP000054521";"PRAGON";"VILL-3";"9989   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;3/11/1985 0:00:00;"NO";5.15;;"VL0010";1.26;1.00;"DEFINITIVO";25.00;18.39;"POLIESTER";1985
54523;"ESP000054523";"ESP000054523";"RUCA";"VILL-3";"9384   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;3/12/1980 0:00:00;"NO";5.05;;"VL0010";0.75;1.03;"DEFINITIVO";30.00;22.07;"POLIESTER";1980
54527;"ESP000054527";"ESP000054527";"VIRGINIA";"VILL-3";"7579   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;14/12/1960 0:00:00;"NO";5.55;;"VL0010";0.97;0.61;"DEFINITIVO";30.00;22.07;"MADERA";1960
54528;"ESP000054528";"ESP000054528";"NATALIA Y MARIA";"VILL-5";"503";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;23/9/1981 0:00:00;"NO";4.90;;"VL0010";0.93;0.97;"DEFINITIVO";4.00;2.94;"Fibra de Vidrio/Plástico";1981
54529;"ESP000054529";"ESP000054529";"LIBRE";"VILL-5";"501";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;21/9/1981 0:00:00;"NO";5.75;;"VL0010";0.93;1.34;"DEFINITIVO";50.00;36.79;"Poliester";1980
54530;"ESP000054530";"ESP000054530";"NORTEIRA";"VILL-5";"492    ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;1/4/1981 0:00:00;"NO";4.95;4.65;"VL0010";1.48;0.99;"DEFINITIVO";40.00;29.43;"POLIESTER";1981
54531;"ESP000054531";"ESP000054531";"GONDAR";"VILL-5";"476    ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;28/7/1980 0:00:00;"NO";5.30;;"VL0010";1.49;1.11;"DEFINITIVO";9.90;7.28;"POLIESTER";1979
54641;"ESP000054641";"ESP000054641";"MARGARITA";"SE-1";"609    ";;"3";"ARTES MENORES  EN EL GOLFO DE CADIZ";"2";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;1/1/1969 0:00:00;"NO";5.40;4.50;"VL0010";0.75;1.37;"DEFINITIVO";20.00;14.71;"POLIESTER";1968
54650;"ESP000054650";"ESP000054650";"CARMEN";"VI-5";"6326";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;26/9/1942 0:00:00;"NO";5.17;0.00;"VL0010";0.82;1.01;"DEFINITIVO";30.00;22.07;"Poliester";1942
54653;"ESP000054653";"ESP000054653";"MARIA RITA";"VI-8";"416";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;6/9/2001 0:00:00;8/2/1967 0:00:00;"NO";4.60;;"VL0010";0.89;0.49;"PROVISIONAL";0.00;0.00;"Madera";
54654;"ESP000054654";"ESP000054654";"PALOMA";"VI-5";"6812   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;12/6/2012 0:00:00;22/9/1947 0:00:00;"NO";4.75;;"VL0010";0.80;0.49;"DEFINITIVO";15.00;11.03;"MADERA";1947
54656;"ESP000054656";"ESP000054656";"PILAR";"VI-5";"6473";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"Alta Definitiva";;10/5/1989 0:00:00;10/5/1989 0:00:00;17/11/1943 0:00:00;"NO";5.29;;"VL0010";1.06;1.05;"DEFINITIVO";25.00;18.39;"Fibra de Vidrio/Plástico";1943
54658;"ESP000054658";"ESP000054658";"SITA";"VI-5";"6938   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;18/12/1948 0:00:00;"NO";5.65;;"VL0010";0.97;1.03;"DEFINITIVO";50.00;36.79;"POLIESTER";1948
54659;"ESP000054659";"ESP000054659";"CLAUDIA";"VI-5";"6459   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;11/10/1943 0:00:00;"NO";5.68;;"VL0010";1.00;1.34;"DEFINITIVO";25.00;18.39;"POLIESTER";1943
54660;"ESP000054660";"ESP000054660";"MINE";"VI-5";"8766   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;13/3/2001 0:00:00;13/5/1968 0:00:00;"NO";4.00;;"VL0010";0.86;0.41;"DEFINITIVO";8.00;5.88;"MADERA";
54663;"ESP000054663";"ESP000054663";"DIANA III";"VI-5";"9883   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;2/12/1986 0:00:00;"NO";6.04;;"VL0010";2.23;1.28;"DEFINITIVO";30.06;22.11;"POLIESTER";1986
54664;"ESP000054664";"ESP000054664";"FATIMA";"VI-5";"9865   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;11/8/1986 0:00:00;"NO";6.05;;"VL0010";1.58;1.59;"DEFINITIVO";50.00;36.79;"POLIESTER";1986
54665;"ESP000054665";"ESP000054665";"LEYENDA";"VI-5";"9907   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"ALTA DEFINITIVA";;10/5/1989 0:00:00;10/5/1989 0:00:00;21/5/1987 0:00:00;"NO";4.99;;"VL0010";2.23;1.06;"DEFINITIVO";25.00;18.39;"POLIESTER";1987
